Key,Id,Shared Comments,English(en),Korean (South Korea)(ko-KR)
common/close,,,Close,닫기
login/login,,,Login,로그인
login/register,,,Register,회원등록
login/email-ph,,,Enter email…,이메일 입력...
login/pw-ph,,,Enter password…,비밀번호 입력...
ready/play,,,Play,플레이
ready/car-list,,,Car List,자동차
settings/language,,,Language,언어
settings/logout,,,Logout,로그아웃
result/earned,,,You earned,수익금
result/claim,,,Claim,획득
guide/1,,,1. PRESS TO MOVE,1. 화면을 눌러 이동
guide/2,,,2. RELEASE TO STOP,2. 화면에 손을 때 멈춤
car-list/select,,,Select,선택
car-list/cancel,,,Cancel,취소
roulette/spin,,,Spin,회전
rw-msg/car,,차동차 획득 메시지(최초획득),Gain {0}.,{0}을(를) 획득하였습니다.
rw-msg/car-cost,,차동차 획득 메시지(코인 대신 획득),"{0} is already exit.
Gain {1} coins.","{0} 는 이미 가지고 있습니다.
{1} 코인을 획득하였습니다."
rw-msg/coin,,코인 획득 메시지,Gain {0} coins.,{0} 코인을 획득하였습니다.
car/vz01_black,,,VZ01(Black),VZ01(검정)
car/vz01_blue,,,VZ01(Blue),VZ01(파랑)
car/vz01_gray,,,VZ01(Gray),VZ01(회색)
car/vz01_green,,,VZ01(Green),VZ01(녹색)
car/vz01_lightblue,,,VZ01(Light Blue),VZ01(하늘색)
car/vz01_purple,,,VZ01(Purple),VZ01(보라색)
car/vz01_red,,,VZ01(Red),VZ01(빨강)
car/vz01_sand,,,VZ01(Sand),VZ01(샌드)
car/vz01_white,,,VZ01(White),VZ01(흰색)
car/vz01_yellow,,,VZ01(Yellow),VZ01(노랑)
car/vz02_black,,,VZ02(Black),VZ02(검정)
car/vz02_blue,,,VZ02(Blue),VZ02(파랑)
car/vz02_gray,,,VZ02(Gray),VZ02(회색)
car/vz02_green,,,VZ02(Green),VZ02(녹색)
car/vz02_lightblue,,,VZ02(Light Blue),VZ02(하늘색)
car/vz02_purple,,,VZ02(Purple),VZ02(보라색)
car/vz02_red,,,VZ02(Red),VZ02(빨강)
car/vz02_sand,,,VZ02(Sand),VZ02(샌드)
car/vz02_white,,,VZ02(White),VZ02(흰색)
car/vz02_yellow,,,VZ02(Yellow),VZ02(노랑)
car/vz03_black,,,VZ03(Black),VZ03(검정)
car/vz03_blue,,,VZ03(Blue),VZ03(파랑)
car/vz03_gray,,,VZ03(Gray),VZ03(회색)
car/vz03_green,,,VZ03(Green),VZ03(녹색)
car/vz03_lightblue,,,VZ03(Light Blue),VZ03(하늘색)
car/vz03_purple,,,VZ03(Purple),VZ03(보라색)
car/vz03_red,,,VZ03(Red),VZ03(빨강)
car/vz03_sand,,,VZ03(Sand),VZ03(샌드)
car/vz03_white,,,VZ03(White),VZ03(흰색)
car/vz03_yellow,,,VZ03(Yellow),VZ03(노랑)
car/vz04_black,,,VZ04(Black),VZ04(검정)
car/vz04_blue,,,VZ04(Blue),VZ04(파랑)
car/vz04_gray,,,VZ04(Gray),VZ04(회색)
car/vz04_green,,,VZ04(Green),VZ04(녹색)
car/vz04_lightblue,,,VZ04(Light Blue),VZ04(하늘색)
car/vz04_purple,,,VZ04(Purple),VZ04(보라색)
car/vz04_red,,,VZ04(Red),VZ04(빨강)
car/vz04_sand,,,VZ04(Sand),VZ04(샌드)
car/vz04_white,,,VZ04(White),VZ04(흰색)
